Country,Time ,Price Index,,,,,,,,,,,,,,
Canada,Dec-19,104.6,,,,,,,,,,,,,,
Canada,Jan-20,105,,,,,,,,,,,,,,
Canada,Feb-20,103.5,,,,,,,,,,,,,,
Canada,Mar-20,101.3,,,,,,,,,,,,,,
Canada,Apr-20,98.3,,,,,,,,,,,,,,
Canada,May-20,98.4,,,,,,,,,,,,,,
Canada,Jun-20,100,,,,,,,,,,,,,,
Canada,Jul-20,101.4,,,,,,,,,,,,,,
Canada,Aug-20,102.3,,,,,,,,,,,,,,
Canada,Sep-20,103.2,,,,,,,,,,,,,,
Canada,Oct-20,103.8,,,,,,,,,,,,,,
Canada,Nov-20,105,,,,,,,,,,,,,,
Canada,Dec-20,105.5,,,,,,,,,,,,,,
Canada,Jan-21,107.7,,,,,,,,,,,,,,
Canada,Feb-21,109.3,,,,,,,,,,,,,,
Canada,Mar-21,110.8,,,,,,,,,,,,,,
Canada,Apr-21,112.3,,,,,,,,,,,,,,
Canada,May-21,113.9,,,,,,,,,,,,,,
Canada,Jun-21,115,,,,,,,,,,,,,,
Canada,Jul-21,116.7,,,,,,,,,,,,,,
Canada,Aug-21,116.7,,,,,,,,,,,,,,
Canada,Sep-21,118.1,,,,,,,,,,,,,,
Canada,Oct-21,119.8,,,,,,,,,,,,,,
Canada,Nov-21,120.3,,,,,,,,,,,,,,
Canada,Dec-21,118.9,,,,,,,,,,,,,,
Canada,Jan-22,123,,,,,,,,,,,,,,
Canada,Feb-22,125.9,,,,,,,,,,,,,,
Canada,Mar-22,129.5,,,,,,,,,,,,,,
Mexico,Dec-19,99.8,,,,,,,,,,,,,,
Mexico,Jan-20,101,,,,,,,,,,,,,,
Mexico,Feb-20,98.5,,,,,,,,,,,,,,
Mexico,Mar-20,98,,,,,,,,,,,,,,
Mexico,Apr-20,92.9,,,,,,,,,,,,,,
Mexico,May-20,94.2,,,,,,,,,,,,,,
Mexico,Jun-20,94.8,,,,,,,,,,,,,,
Mexico,Jul-20,95.8,,,,,,,,,,,,,,
Mexico,Aug-20,95.9,,,,,,,,,,,,,,
Mexico,Sep-20,96.4,,,,,,,,,,,,,,
Mexico,Oct-20,97.2,,,,,,,,,,,,,,
Mexico,Nov-20,98.3,,,,,,,,,,,,,,
Mexico,Dec-20,99.3,,,,,,,,,,,,,,
Mexico,Jan-21,102.5,,,,,,,,,,,,,,
Mexico,Feb-21,105,,,,,,,,,,,,,,
Mexico,Mar-21,109.2,,,,,,,,,,,,,,
Mexico,Apr-21,112.1,,,,,,,,,,,,,,
Mexico,May-21,120.7,,,,,,,,,,,,,,
Mexico,Jun-21,121.6,,,,,,,,,,,,,,
Mexico,Jul-21,121.8,,,,,,,,,,,,,,
Mexico,Aug-21,122.3,,,,,,,,,,,,,,
Mexico,Sep-21,122,,,,,,,,,,,,,,
Mexico,Oct-21,124.7,,,,,,,,,,,,,,
Mexico,Nov-21,125.1,,,,,,,,,,,,,,
Mexico,Dec-21,121.7,,,,,,,,,,,,,,
Mexico,Jan-22,125.5,,,,,,,,,,,,,,
