Category,Time,Price Index
Nonmanufactory,19-Dec,-0.015016685
Nonmanufactory,20-Jan,-0.029361942
Nonmanufactory,20-Feb,-0.136125654
Nonmanufactory,20-Mar,-0.284848485
Nonmanufactory,20-Apr,-0.411487759
Nonmanufactory,20-May,0.1392
Nonmanufactory,20-Jun,0.797752809
Nonmanufactory,20-Jul,0.0859375
Nonmanufactory,20-Aug,0.041007194
Nonmanufactory,20-Sep,-0.062888735
Nonmanufactory,20-Oct,0.004424779
Nonmanufactory,20-Nov,0.032305433
Nonmanufactory,20-Dec,0.105263158
Nonmanufactory,21-Jan,0.063706564
Nonmanufactory,21-Feb,0.119782214
Nonmanufactory,21-Mar,0.085899514
Nonmanufactory,21-Apr,0.006467662
Nonmanufactory,21-May,0.047454276
Nonmanufactory,21-Jun,0.065125059
Nonmanufactory,21-Jul,0.035002215
Nonmanufactory,21-Aug,-0.031678082
Nonmanufactory,21-Sep,0.039345712
Nonmanufactory,21-Oct,0.125903871
Nonmanufactory,21-Nov,0.038156403
Nonmanufactory,21-Dec,-0.111717613
Nonmanufactory,22-Jan,0.097501024
Nonmanufactory,22-Feb,0.103770063
Nonmanufactory,22-Mar,0.12073047
Manufactory-1,19-Dec,0.008506616
Manufactory-1,20-Jan,0.010309278
Manufactory-1,20-Feb,0.005565863
Manufactory-1,20-Mar,-0.020295203
Manufactory-1,20-Apr,-0.04519774
Manufactory-1,20-May,0.004930966
Manufactory-1,20-Jun,0.00686948
Manufactory-1,20-Jul,-0.006822612
Manufactory-1,20-Aug,0.02060844
Manufactory-1,20-Sep,0.003846154
Manufactory-1,20-Oct,0.007662835
Manufactory-1,20-Nov,0.025665399
Manufactory-1,20-Dec,0.024096386
Manufactory-1,21-Jan,0.004524887
Manufactory-1,21-Feb,0.015315315
Manufactory-1,21-Mar,0.020408163
Manufactory-1,21-Apr,0.026086957
Manufactory-1,21-May,0.026271186
Manufactory-1,21-Jun,0.048720066
Manufactory-1,21-Jul,0.024409449
Manufactory-1,21-Aug,0
Manufactory-1,21-Sep,-0.002305919
Manufactory-1,21-Oct,0.013867488
Manufactory-1,21-Nov,-0.006079027
Manufactory-1,21-Dec,-0.000764526
Manufactory-1,22-Jan,0.026013772
Manufactory-1,22-Feb,0.020134228
Manufactory-1,22-Mar,-0.003654971
Manufactory-2,19-Dec,-0.004449388
Manufactory-2,20-Jan,-0.007821229
Manufactory-2,20-Feb,-0.01463964
Manufactory-2,20-Mar,0.008
Manufactory-2,20-Apr,-0.079365079
Manufactory-2,20-May,-0.018472906
Manufactory-2,20-Jun,0.028858218
Manufactory-2,20-Jul,0.034146341
Manufactory-2,20-Aug,0.135613208
Manufactory-2,20-Sep,0.043613707
Manufactory-2,20-Oct,-0.004975124
Manufactory-2,20-Nov,-0.071
Manufactory-2,20-Dec,0.024757804
Manufactory-2,21-Jan,0.12394958
Manufactory-2,21-Feb,0.028037383
Manufactory-2,21-Mar,0.075454545
Manufactory-2,21-Apr,0.043110735
Manufactory-2,21-May,0.106158833
Manufactory-2,21-Jun,0.037362637
Manufactory-2,21-Jul,-0.087570621
Manufactory-2,21-Aug,-0.091331269
Manufactory-2,21-Sep,-0.05451448
Manufactory-2,21-Oct,0.087387387
Manufactory-2,21-Nov,0.025683513
Manufactory-2,21-Dec,0.031502423
Manufactory-2,22-Jan,0.118245889
Manufactory-2,22-Feb,0.031512605
Manufactory-2,22-Mar,0.071961982
Manufactory-3,19-Dec,-0.018399408
Manufactory-3,20-Jan,0.000707763
Manufactory-3,20-Feb,0.000707262
Manufactory-3,20-Mar,0.000661165
Manufactory-3,20-Apr,0.000706295
Manufactory-3,20-May,0.000683029
Manufactory-3,20-Jun,0.000705315
Manufactory-3,20-Jul,0.000682082
Manufactory-3,20-Aug,0.000704337
Manufactory-3,20-Sep,0.000703842
Manufactory-3,20-Oct,0.000680658
Manufactory-3,20-Nov,0.000702868
Manufactory-3,20-Dec,0.000679717
Manufactory-3,21-Jan,0.000701897
Manufactory-3,21-Feb,0.000701405
Manufactory-3,21-Mar,0.000633083
Manufactory-3,21-Apr,0.00070047
Manufactory-3,21-May,0.0006774
Manufactory-3,21-Jun,0.000699506
Manufactory-3,21-Jul,0.000676468
Manufactory-3,21-Aug,0.000698544
Manufactory-3,21-Sep,0.000698057
Manufactory-3,21-Oct,0.000675068
Manufactory-3,21-Nov,0.000697099
Manufactory-3,21-Dec,0.000674142
Manufactory-3,22-Jan,0.000696144
Manufactory-3,22-Feb,0.00069566
Manufactory-3,22-Mar,0.000627901
