Country,Price Index,month,C1_School closing_org,C2_Workplace closing_org,C3_Cancel public events_org,C4_Restrictions on gatherings_org,C5_Close public transport_org,C6_Stay at home requirements_org,C7_Restrictions on internal movement_org,C8_International travel controls_org,ConfirmedCases_org,ConfirmedDeaths_org,StringencyIndex_org,log_cases_org,log_death_org,CountryName,C1_School closing_dst,C2_Workplace closing_dst,C3_Cancel public events_dst,C4_Restrictions on gatherings_dst,C5_Close public transport_dst,C6_Stay at home requirements_dst,C7_Restrictions on internal movement_dst,C8_International travel controls_dst,ConfirmedCases_dst,ConfirmedDeaths_dst,StringencyIndex_dst,log_cases_dst,log_death_dst,date
Canada,104.6,2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Canada,105.0,2020-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,3460.9599999999937,3.555348061489413,0.0,United States,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,82.0,10.0,978.4399999999956,4.418840607796598,2.3978952727983707,1
Canada,103.5,2020-02-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,422.0,0.0,4773.099999999992,6.0473721790462776,0.0,United States,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,822.0,31.0,5434.350000000011,6.71295620067707,3.4657359027997265,2
Canada,101.3,2020-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122983.0,1972.0,18085.759999999984,11.719809544592437,7.587310506022615,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2239877.0,52060.0,69997.39000000036,14.621931958062277,10.86017138696953,3
Canada,98.3,2020-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1930844.0,113655.0,32237.04999999998,14.473468288898376,11.640931621551912,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39637247.0,2137344.0,123071.36000000032,17.495279840192637,14.575074962543855,4
Canada,98.4,2020-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4711795.0,386598.0,32501.959999999966,15.365579709658194,12.86514325910015,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90544685.0,5594808.0,117517.9099999998,18.321354054762672,15.537349761522584,5
Canada,100.0,2020-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5951422.0,505354.0,28567.920000000016,15.599140908591565,13.133016431586642,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129591407.0,7131398.0,100569.68000000062,18.67989704338845,15.78001798632692,6
Canada,101.4,2020-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6820604.0,553101.0,27206.75000000005,15.735458735562592,13.223297711958876,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,222051618.0,8634642.0,99146.72000000102,19.21842043082645,15.971292925338249,7
Canada,102.3,2020-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7602834.0,564916.0,26892.92000000012,15.84403176201533,13.24443409668246,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,332675398.0,10487122.0,98345.61000000066,19.622677794762115,16.165658681554856,8
Canada,103.2,2020-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8512576.0,556663.0,24293.00000000005,15.957055274920286,13.229717105294192,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,398563926.0,11686008.0,88863.64000000032,19.8033784624003,16.27390287224854,9
Canada,103.8,2020-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12204975.0,609200.0,25276.690000000028,16.317354295400055,13.319903541498842,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,501452077.0,13476803.0,88958.51000000024,20.03301860347236,16.416480543349557,10
Canada,105.0,2020-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18237373.0,674683.0,26010.099999999973,16.71898356294764,13.421999712090962,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,674929008.0,14877546.0,88502.72000000032,20.33011807145401,16.515363721629072,11
Canada,105.5,2020-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30087625.0,879720.0,28828.99999999992,17.21962454885032,13.687360090730309,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1053717759.0,19182641.0,95094.2400000006,20.77559047132,16.769516365587034,12
Canada,107.7,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43324877.0,1138736.0,29079.930000000066,17.58423757763584,13.945430311464795,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1464550441.0,24653083.0,94427.58000000076,21.10481416679357,17.02041256218904,13
Canada,109.3,2021-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46399807.0,1200844.0,26360.65000000007,17.65280587925689,13.998536033615874,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1550635716.0,27010059.0,82579.19,21.161930823793146,17.111719947165813,14
Canada,110.8,2021-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57183472.0,1405879.0,28082.22000000011,17.861775481034247,14.156173999203956,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1835738875.0,32965325.0,86379.16999999993,21.330712894628988,17.310966839757143,15
Canada,112.3,2021-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66388187.0,1430820.0,28335.91000000009,18.011029707055815,14.17375896336301,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1891368494.0,33584221.0,75822.20000000011,21.360566475433288,17.32956693131132,16
Canada,113.9,2021-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82071425.0,1562245.0,30440.91000000019,18.22310047486618,14.261635087378384,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2042243457.0,35988314.0,71435.86999999962,21.437314774851465,17.398704860398478,17
Canada,115.0,2021-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84320086.0,1565217.0,26630.78000000003,18.250130674540475,14.263535669380047,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2011296808.0,35700717.0,61062.77999999989,21.42204552958612,17.390681358592442,18
Canada,116.7,2021-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88339306.0,1642188.0,23824.75000000005,18.29669571941092,14.311540665902886,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2118195381.0,37411588.0,58447.63999999956,21.473830328218508,17.437491080696272,19
Canada,116.7,2021-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90608675.0,1656261.0,22395.92999999999,18.322060528017765,14.32007381397344,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2296647899.0,38414750.0,54938.49999999948,21.554716462007782,17.463952084419834,20
Canada,118.1,2021-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93877713.0,1636914.0,23077.38999999993,18.357503578416285,14.30832393075348,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2494555827.0,39871067.0,50617.4399999997,21.637376525451888,17.50116150605671,21
Canada,119.8,2021-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104111356.0,1759027.0,25382.570000000003,18.460971624656644,14.380271941728306,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2779251187.0,44658385.0,51515.389999999694,21.745447371531355,17.614552664000882,22
Canada,120.3,2021-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105401239.0,1756815.0,24648.90999999985,18.473284958708216,14.379013637724,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2833058554.0,45653885.0,52336.98000000027,21.764622726483417,17.636599287340623,23
Canada,118.9,2021-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118382350.0,1855479.0,25052.58999999988,18.58943020680326,14.433653980658868,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3148951317.0,49655061.0,54306.37000000021,21.870335319434844,17.720610896934264,24
Canada,123.0,2022-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169550627.0,1982546.0,28086.590000000004,18.948662130451208,14.499892939650223,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4073100985.0,52802767.0,55409.66,22.12767045931465,17.78207417154481,25
Canada,125.9,2022-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179482924.0,1987628.0,22533.61000000001,19.005590636019715,14.50245302906472,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4339352063.0,51501354.0,49058.19000000012,22.19099087990405,17.757118675967455,26
Canada,129.5,2022-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,210139556.0,2301262.0,12903.399999999996,19.163282425104285,14.648968660617216,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4919809186.0,59838975.0,48333.6399999999,22.316535583568463,17.907167779184615,27
Mexico,99.8,2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mexico,101.0,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,82.0,10.0,978.4399999999956,4.418840607796598,2.3978952727983707,1
Mexico,98.5,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.56,1.791759469228055,0.0,United States,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,822.0,31.0,5434.350000000011,6.71295620067707,3.4657359027997265,2
Mexico,98.0,2020-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8124.0,136.0,617.64,9.002701007197938,4.919980925828125,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2239877.0,52060.0,69997.39000000036,14.621931958062277,10.86017138696953,3
Mexico,92.9,2020-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229514.0,19390.0,2472.3,12.343723665824024,9.87256431988262,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39637247.0,2137344.0,123071.36000000032,17.495279840192637,14.575074962543855,4
Mexico,94.2,2020-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1560343.0,165485.0,2554.71,14.260416867736854,12.016641878076122,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90544685.0,5594808.0,117517.9099999998,18.321354054762672,15.537349761522584,5
Mexico,94.8,2020-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4692440.0,562682.0,2145.359999999999,15.361463474108564,13.240471693484633,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129591407.0,7131398.0,100569.68000000062,18.67989704338845,15.78001798632692,6
Mexico,95.8,2020-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10107738.0,1164238.0,2195.729999999999,16.128811926025072,13.967578212657408,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,222051618.0,8634642.0,99146.72000000102,19.21842043082645,15.971292925338249,7
Mexico,95.9,2020-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16108026.0,1749213.0,2240.2499999999995,16.59482827713782,14.37467710214769,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,332675398.0,10487122.0,98345.61000000066,19.622677794762115,16.165658681554856,8
Mexico,96.4,2020-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20309152.0,2150492.0,2157.44,16.82658222909266,14.581207676143666,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,398563926.0,11686008.0,88863.64000000032,19.8033784624003,16.27390287224854,9
